"","district","weekstartdate","anycases","totalcases","est"
"1","moody",2004-11-21,0,0,7.53036812806933e-05
"2","union",2004-07-18,0,0,0.0560652742509092
"3","moody",2004-11-14,0,0,9.00118288838595e-05
"4","marshall",2004-10-31,0,0,0.000546853339446104
"5","marshall",2004-07-25,0,0,0.0402684566828231
"6","marshall",2004-10-24,0,0,0.000646068038486203
"7","moody",2004-10-31,0,0,0.000146914681318065
"8","moody",2004-09-26,0,0,0.0012518136323034
"9","union",2004-10-03,0,0,0.005246973890476
"10","marshall",2004-08-15,0,0,0.0378070297076573
"11","moody",2004-10-24,0,0,0.000169966872807032
"12","moody",2004-10-17,0,0,0.000222496662534861
"13","moody",2004-09-19,0,0,0.00215757584762874
"14","marshall",2004-08-22,0,0,0.0275460720804952
"15","moody",2004-11-28,0,0,5.79453595712328e-05
"16","marshall",2004-11-07,0,0,0.000497409459391837
"17","moody",2004-12-05,0,0,4.86025712845619e-05
"18","marshall",2004-08-01,0,0,0.0458928776229059
"19","union",2004-07-04,0,0,0.0283117557708345
"20","moody",2004-12-19,0,0,3.38300552351277e-05
"21","moody",2004-08-15,0,0,0.00754444467043235
"22","moody",2004-08-22,0,0,0.00561562241608304
"23","moody",2004-10-03,0,0,0.000642738297127705
"24","moody",2004-11-07,0,0,0.000124790317939914
"25","union",2004-10-17,0,0,0.00182307911784318
"26","union",2004-10-24,0,0,0.00140047903585291
"27","union",2004-06-27,0,0,0.0182467788483507
"28","lincoln",2004-10-17,0,0,0.00421515959568692
"29","union",2004-07-11,0,0,0.0412566281580196
"30","marshall",2004-11-14,0,0,0.000406118560538715
"31","marshall",2004-11-21,0,0,0.000353606174367215
"32","moody",2004-12-12,0,0,4.45303627097952e-05
"33","marshall",2004-11-28,0,0,0.000277322251371797
"34","marshall",2004-12-05,0,0,0.000255739126650235
"35","moody",2004-12-26,0,0,2.45669282189429e-05
"36","union",2004-08-29,0,0,0.0298771193017208
"37","moody",2004-10-10,0,0,0.000400349741589397
"38","moody",2004-09-05,0,0,0.00390543353459082
"39","marshall",2004-07-18,0,0,0.0334124246321742
"40","lincoln",2004-10-10,0,0,0.00742240385094657
"41","marshall",2004-10-10,0,0,0.00167753471517626
"42","marshall",2004-08-08,0,0,0.0506592279492844
"43","clark",2004-12-26,0,0,0.000131609440347522
"44","union",2004-07-25,0,0,0.0665982444606161
"45","union",2004-08-01,0,0,0.0691117933735055
"46","codington",2004-09-12,0,0,0.0371018638109292
"47","moody",2004-08-08,0,0,0.0103600808529017
"48","brookings",2004-10-31,0,0,0.00180881852121804
"49","brookings",2004-11-07,0,0,0.00157272796722679
"50","union",2004-10-10,0,0,0.00318208877750111
"51","union",2004-09-05,0,0,0.0267196543056408
"52","moody",2004-09-12,0,0,0.0030460751525029
"53","marshall",2004-10-03,0,0,0.00241021826701241
"54","union",2004-10-31,0,0,0.00122383379630755
"55","marshall",2004-10-17,0,0,0.000921695941890054
"56","codington",2004-08-22,0,0,0.075702752778478
"57","codington",2004-08-29,0,0,0.0573155095645866
"58","codington",2004-09-05,0,0,0.0526391036907565
"59","union",2004-11-21,0,0,0.000562375440596687
"60","union",2004-08-08,0,0,0.0725949009862158
"61","union",2004-08-15,0,0,0.050310683524526
"62","union",2004-08-22,0,0,0.0379216607602164
"63","moody",2004-08-29,0,0,0.00432372549112534
"64","marshall",2004-07-04,0,0,0.0153579256693172
"65","union",2004-09-12,0,0,0.0217001192480532
"66","union",2004-09-19,0,0,0.0161200425955744
"67","brookings",2004-08-01,0,0,0.125449704106494
"68","brookings",2004-08-08,0,0,0.137159268106337
"69","brookings",2004-08-15,0,0,0.102247241818646
"70","brookings",2004-09-26,0,0,0.015616457594034
"71","marshall",2004-08-29,0,0,0.0205797961567045
"72","marshall",2004-09-05,0,0,0.0177063850366706
"73","marshall",2004-09-12,0,0,0.0114779634843728
"74","marshall",2004-09-19,0,0,0.00778739778073372
"75","lincoln",2004-12-26,0,0,0.000491128161022581
"76","marshall",2004-12-12,0,0,0.000215491694775169
"77","brookings",2004-11-14,0,0,0.00117907009823023
"78","brookings",2004-11-21,0,0,0.00100663413963009
"79","lincoln",2004-10-03,0,0,0.0123272047367488
"80","clark",2004-10-24,0,0,0.000724513788782162
"81","clark",2004-10-31,0,0,0.000605651236432961
"82","clark",2004-11-07,0,0,0.000528333708690545
