district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Codington,46029,1.0,2018.0,-29.680278248518107,-24.28253390200328,-18.884789555488453,0.0,76.86366629758136,0.027791963085865366,3.093872311342405
Brown,46013,1.0,2018.0,-31.14759465213236,-26.304908922944588,-21.462223193756827,0.0,85.15644212001408,0.009789570616442155,3.1485094530233955
Edmunds,46045,1.0,2018.0,-32.22260099560567,-26.34068533056303,-20.458769665520393,0.0,81.55646222527311,0.01337462128042825,2.461370412713543
Sully,46119,1.0,2018.0,-32.06314534258874,-26.627648230831994,-21.192151119075227,0.0,87.36387107051388,3.2193889928138706E-4,2.350391488666049
Hughes,46065,1.0,2018.0,-32.21490342526022,-26.65133663095398,-21.08776983664772,0.0,85.33962378895873,0.006205652825580655,2.2094909900277617
Stanley,46117,1.0,2018.0,-31.58986771659221,-26.00835202269558,-20.426836328798945,0.0,87.51201609317285,7.449971333795969E-4,2.335908086056785
Davison,46035,1.0,2018.0,-31.294594245466893,-25.653654924984117,-20.012715604501327,0.0,68.49851777611312,0.03999999910593033,1.7508083065109687
Hanson,46061,1.0,2018.0,-31.631530266146868,-26.186319596751424,-20.741108927355977,0.0,70.629326061276,0.033455164944226554,1.7108728564841573
Beadle,46005,1.0,2018.0,-32.498701784797326,-26.240612892098774,-19.98252399940024,0.0,76.20135206859321,0.0252517146304594,2.199512559564582
Brookings,46011,1.0,2018.0,-30.48633284636302,-24.835478171211122,-19.1846234960592,0.0,75.76399307978423,0.030593469412230418,2.8823461196561033
McCook,46087,1.0,2018.0,-31.65114219884383,-26.321346958232173,-20.991551717620496,0.0,73.55313004629019,0.030941771047084402,2.3836046766222054
Minnehaha,46099,1.0,2018.0,-31.7973719730389,-26.648870158610496,-21.50036834418205,0.0,77.5561663616917,0.021865961932246478,2.9383121264990018
Lincoln,46083,1.0,2018.0,-32.257168150569655,-26.603289031044326,-20.949409911519,0.0,77.27123072061572,0.023079350250592563,2.008676926291705
Turner,46125,1.0,2018.0,-31.753064159993887,-25.87864113478886,-20.004218109583846,0.0,76.43896610465661,0.027688609701806553,2.163985218083521
Yankton,46135,1.0,2018.0,-31.651619591377504,-24.782323756774186,-17.913027922170855,0.0,73.54650722242101,0.036615315320273775,2.1482101395261783
Custer,46033,1.0,2018.0,-22.13799309344221,-15.709016100721252,-9.280039108000203,0.0,63.996761592910744,0.09890203329409201,2.2864004376162046
Meade,46093,1.0,2018.0,-30.014005675015042,-23.399390784930876,-16.7847758948468,0.0,79.76337295292727,0.017818036422467428,2.7938846703189624
Pennington,46103,1.0,2018.0,-26.286843584189313,-19.36609138390491,-12.445339183620558,0.0,73.6311616657634,0.05416830427860956,2.9212982551569637
Lawrence,46081,1.0,2018.0,-22.313515985123093,-14.207008618971061,-6.100501252819017,0.0,67.52965528194684,0.11047195098581816,2.6355970649419813
Union,46127,1.0,2018.0,-31.3665011584004,-24.832274534533454,-18.29804791066654,0.0,72.34772328037917,0.03747500066241559,2.2122711440390996
Clay,46027,1.0,2018.0,-31.69190281096895,-24.607502893090903,-17.523102975212815,0.0,72.10542574942912,0.039623960564550934,2.064603007294174
Grant,46051,1.0,2018.0,-27.784784372430742,-22.56987501535267,-17.35496565827459,0.0,77.2698152630389,0.03423889704101453,3.5778925835671687
