"","district","col_date","wnv_result","pool_size","year","col_year","doy","weeknum","strata","districtnum","dminus","est"
"649","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"650","beadle",2015-07-30,0,15,2015,2015,211,30,102,2,24.1772420375411,0.0873489178618053
"651","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"652","beadle",2006-07-18,0,3,2006,2006,199,29,102,2,12.1772420375411,0.0535367687572902
"653","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"654","beadle",2007-06-28,0,41,2007,2007,179,25,102,2,-7.82275796245889,0.0451416880830306
"655","beadle",2015-07-30,0,3,2015,2015,211,30,102,2,24.1772420375411,0.0873489178618053
"656","beadle",2008-07-29,0,37,2008,2008,211,30,102,2,24.1772420375411,0.0393742627238035
"657","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"658","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"659","beadle",2007-07-12,0,2,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"660","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"661","beadle",2019-07-16,0,50,2019,2019,197,28,102,2,10.1772420375411,0.030648331259163
"662","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"663","beadle",2015-07-30,0,13,2015,2015,211,30,102,2,24.1772420375411,0.0873489178618053
"664","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"665","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"666","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"667","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"668","beadle",2008-07-29,0,4,2008,2008,211,30,102,2,24.1772420375411,0.0393742627238035
"669","beadle",2017-07-25,0,5,2017,2017,206,30,102,2,19.1772420375411,0.0708796270117073
"670","beadle",2018-06-19,0,50,2018,2018,170,24,102,2,-16.8227579624589,0.0128583413507172
"671","beadle",2017-07-27,1,25,2017,2017,208,30,102,2,21.1772420375411,0.0759041967511168
"672","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"673","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"674","beadle",2007-07-10,1,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"675","beadle",2017-07-06,0,2,2017,2017,187,27,102,2,0.177242037541106,0.0364243191497554
"676","beadle",2008-06-24,0,6,2008,2008,176,25,102,2,-10.8227579624589,0.00695074046770026
"677","beadle",2015-07-30,0,22,2015,2015,211,30,102,2,24.1772420375411,0.0873489178618053
"678","beadle",2007-07-19,0,50,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"679","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"680","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
"681","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"682","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"683","beadle",2007-07-19,0,15,2007,2007,200,28,102,2,13.1772420375411,0.095917238111773
"684","beadle",2019-07-01,0,50,2019,2019,182,26,102,2,-4.82275796245889,0.01327971660257
"685","beadle",2006-06-20,0,1,2006,2006,171,25,102,2,-15.8227579624589,0.0159212197489739
"686","beadle",2007-06-21,0,50,2007,2007,172,24,102,2,-14.8227579624589,0.0348511119720633
"687","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"688","beadle",2018-07-10,0,50,2018,2018,191,27,102,2,4.17724203754111,0.0359068653699621
"689","beadle",2017-07-25,0,26,2017,2017,206,30,102,2,19.1772420375411,0.0708796270117073
"690","beadle",2007-07-12,0,50,2007,2007,193,27,102,2,6.17724203754111,0.0749604587460847
"691","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"692","beadle",2007-06-08,0,8,2007,2007,159,22,102,2,-27.8227579624589,0.0214239950697407
"693","beadle",2007-07-17,0,48,2007,2007,198,28,102,2,11.1772420375411,0.0894459929711588
"694","beadle",2018-06-19,0,50,2018,2018,170,24,102,2,-16.8227579624589,0.0128583413507172
"695","beadle",2019-07-09,0,50,2019,2019,190,27,102,2,3.17724203754111,0.0207827739131761
"696","beadle",2018-07-31,0,50,2018,2018,212,30,102,2,25.1772420375411,0.0962418098750838
"697","beadle",2007-07-10,0,50,2007,2007,191,27,102,2,4.17724203754111,0.0697939535458714
"698","beadle",2019-07-11,0,50,2019,2019,192,27,102,2,5.17724203754111,0.0232313062094973
