STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER,strata
46,97,1265777,0500000US46097,46097,Miner,6,1476891615,4382648,101
46,3,1266983,0500000US46003,46003,Aurora,6,1834810957,11201377,102
46,43,1266978,0500000US46043,46043,Douglas,6,1118361830,4832944,102
46,13,1265785,0500000US46013,46013,Brown,6,4436728222,46414546,102
46,45,1266972,0500000US46045,46045,Edmunds,6,2916212433,65038225,102
46,73,1265778,0500000US46073,46073,Jerauld,6,1362937153,16668604,102
46,125,1265770,0500000US46125,46125,Turner,6,1598170465,1650289,102
46,25,1266985,0500000US46025,46025,Clark,6,2480182127,25627353,101
46,39,1265781,0500000US46039,46039,Deuel,6,1612749844,36071554,101
46,67,1265771,0500000US46067,46067,Hutchinson,6,2105408637,3928767,102
46,79,1265776,0500000US46079,46079,Lake,6,1458881282,30781777,101
46,47,1265787,0500000US46047,46047,Fall River,6,4506075370,24080985,104
46,61,1266979,0500000US46061,46061,Hanson,6,1125387523,2248724,102
46,99,1265772,0500000US46099,46099,Minnehaha,6,2090509747,17386916,101
46,35,1266980,0500000US46035,46035,Davison,6,1127941512,3675453,102
46,87,1265773,0500000US46087,46087,McCook,6,1487182119,6898514,101
46,49,1265760,0500000US46049,46049,Faulk,6,2542739445,62704053,102
46,101,1265775,0500000US46101,46101,Moody,6,1345200471,3679400,101
46,5,1266986,0500000US46005,46005,Beadle,6,3260033232,15817632,102
46,115,1266987,0500000US46115,46115,Spink,6,3895148084,15062277,102
46,69,1266984,0500000US46069,46069,Hyde,6,2228773802,14541547,103
46,17,1265767,0500000US46017,46017,Buffalo,6,1220893222,42362357,103
46,37,1265790,0500000US46037,46037,Day,6,2662166836,163750391,101
46,59,1265783,0500000US46059,46059,Hand,6,3720768217,9241521,102
46,29,1265791,0500000US46029,46029,Codington,6,1782118021,75327851,101
46,85,1265789,0500000US46085,46085,Lyman,6,4252921575,167664803,104
46,7,1265812,0500000US46007,46007,Bennett,6,3068382987,15010866,104
46,129,1266973,0500000US46129,46129,Walworth,6,1835343433,93214963,103
46,81,1266996,0500000US46081,46081,Lawrence,6,2072089203,713642,104
46,91,1265759,0500000US46091,46091,Marshall,6,2170630196,124680558,101
46,127,1265763,0500000US46127,46127,Union,6,1193295665,16562652,101
46,77,1265780,0500000US46077,46077,Kingsbury,6,2155481307,81655092,101
46,51,1265782,0500000US46051,46051,Grant,6,1764967801,15746364,101
46,71,1265794,0500000US46071,46071,Jackson,6,4827513907,19097458,104
46,15,1265768,0500000US46015,46015,Brule,6,2116641196,75721266,104
46,119,1266982,0500000US46119,46119,Sully,6,2607657304,164383552,103
46,53,1265765,0500000US46053,46053,Gregory,6,2628726974,99900784,104
46,9,1266997,0500000US46009,46009,Bon Homme,6,1459978987,46518944,102
46,121,1266989,0500000US46121,46121,Todd,6,3596063937,5854566,104
46,23,1266976,0500000US46023,46023,Charles Mix,6,2842477574,136616766,104
46,123,1265784,0500000US46123,46123,Tripp,6,4176215548,13272785,104
46,55,1266988,0500000US46055,46055,Haakon,6,4689275344,42449504,104
46,135,1266975,0500000US46135,46135,Yankton,6,1349811536,28629259,102
46,33,1265788,0500000US46033,46033,Custer,6,4032687025,5482569,104
46,109,1265786,0500000US46109,46109,Roberts,6,2851683884,89947559,101
46,113,1266992,0500000US46113,46113,Oglala Lakota,6,5422998873,7126223,104
46,103,1266995,0500000US46103,46103,Pennington,6,7191349843,19944944,104
46,41,1266994,0500000US46041,46041,Dewey,6,5963376651,369822322,104
46,111,1266977,0500000US46111,46111,Sanborn,6,1474533483,2992621,102
46,89,1265762,0500000US46089,46089,McPherson,6,2943892406,38569612,102
46,83,1265769,0500000US46083,46083,Lincoln,6,1495182282,1179308,101
46,75,1266981,0500000US46075,46075,Jones,6,2511453316,3147180,104
46,63,1265792,0500000US46063,46063,Harding,6,6918899430,16956322,104
46,19,1265793,0500000US46019,46019,Butte,6,5827245530,42730789,104
46,105,1266990,0500000US46105,46105,Perkins,6,7434280627,50539686,104
46,11,1265779,0500000US46011,46011,Brookings,6,2051807033,32967600,101
46,93,1266991,0500000US46093,46093,Meade,6,8989793557,30715788,104
46,57,1265766,0500000US46057,46057,Hamlin,6,1313731174,79864239,101
46,117,1266998,0500000US46117,46117,Stanley,6,3741062040,188383676,103
46,31,1265811,0500000US46031,46031,Corson,6,6396470732,155287273,104
46,21,1266974,0500000US46021,46021,Campbell,6,1900214185,96243721,103
46,65,1265774,0500000US46065,46065,Hughes,6,1920602262,153254505,103
46,137,1266993,0500000US46137,46137,Ziebach,6,5079964141,24212495,104
46,107,1265761,0500000US46107,46107,Potter,6,2230432409,97171992,103
46,95,1267177,0500000US46095,46095,Mellette,6,3385906697,9219685,104
46,27,1265764,0500000US46027,46027,Clay,6,1067562650,13071016,102
