district,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Grant,1.0,2018.0,-11.589466352245191,-7.3579929029952345,-3.1265194537453054,0.6602452689348598,22.4686557237971,0.29430624963881813
Roberts,1.0,2018.0,-10.62246508218328,-7.139924645400755,-3.657384208618206,0.8137547557282215,22.30038681414906,0.29328179312826086
Marshall,1.0,2018.0,-11.604604363620314,-8.064673932637866,-4.524743501655417,0.43844122604167046,22.167864368136794,0.2743128409758326
Day,1.0,2018.0,-11.859579953410087,-7.747181454323153,-3.634782955236245,0.44733748057871087,19.62639336089541,0.2930016928730983
Deuel,1.0,2018.0,-12.32379443386497,-7.653421308922756,-2.983048183980574,1.8619149460805968,20.84601618945364,0.2953320593614863
Codington,1.0,2018.0,-13.828946399720737,-8.527636533040473,-3.2263266663602126,0.8380291760261004,21.713514596983284,0.2802263447446236
Hamlin,1.0,2018.0,-14.477410326428737,-8.804500293578881,-3.131590260729022,1.3616253053748577,22.068699709187317,0.2778121934902282
Clark,1.0,2018.0,-13.593054517495608,-8.321836132960064,-3.0506177484245094,0.8585997606345184,21.72707945914732,0.28902689476823495
Brown,1.0,2018.0,-12.841261622957026,-8.311630630250523,-3.7819996375439855,0.024285856101162826,22.90740845344966,0.2784871492138455
McPherson,1.0,2018.0,-13.090320419213635,-8.51798312289995,-3.945645826586228,0.0,20.37209024651143,0.2785190563153383
Edmunds,1.0,2018.0,-13.196953965988204,-8.173798744158841,-3.1506435223294775,0.0,22.223101325443483,0.2869282453205637
Spink,1.0,2018.0,-14.041385962055774,-8.360378693542545,-2.679371425029206,0.029058067255671973,24.407010630467315,0.2879589078844964
Faulk,1.0,2018.0,-13.461192072204058,-7.962922106004233,-2.4646521398043886,0.0,23.231193556429933,0.2948697250635099
Hand,1.0,2018.0,-13.699467791667738,-7.791448750961949,-1.8834297102561055,0.01864705361678408,21.703562793365677,0.3089570639199953
Campbell,1.0,2018.0,-13.366539241815312,-8.387085781830832,-3.407632321846349,0.01757745990988198,22.367454761176354,0.2807544457948791
Walworth,1.0,2018.0,-13.475751041187142,-8.239943856507963,-3.004136671828809,0.0,24.06438208999625,0.2815077020491151
Potter,1.0,2018.0,-13.783121915672336,-8.053755994542946,-2.3243900734135483,0.0,25.17868202758836,0.28868586344359703
Hyde,1.0,2018.0,-14.686410995253025,-8.487489888508312,-2.288568781763585,0.0,23.668800716229775,0.29154306047538187
Sully,1.0,2018.0,-14.348526636318761,-7.986755351026172,-1.6249840657335695,0.0,26.02330278095284,0.2964560499128262
Dewey,1.0,2018.0,-14.17649132299201,-8.349845323731813,-2.523199324471458,0.00390114536382426,26.615763782558744,0.27822774896445424
Hughes,1.0,2018.0,-14.593222021938132,-7.8698463933425575,-1.146470764746997,0.0,24.96934684745705,0.30921148455979686
Stanley,1.0,2018.0,-13.936415392810767,-7.4536366389388435,-0.970857885066831,0.0,26.804402380670265,0.30746968037877603
Corson,1.0,2018.0,-14.278659637226953,-8.727922968539117,-3.177186299851196,0.370883748751191,24.442776402924466,0.2732627111929403
Perkins,1.0,2018.0,-14.93154061850763,-9.077426430017569,-3.2233122415273763,0.3875949587007512,26.65754896525691,0.26211218901214517
Ziebach,1.0,2018.0,-15.261050552401498,-9.079011134323022,-2.8969717162443827,0.0,27.198907777666136,0.26483427197032994
Haakon,1.0,2018.0,-14.54113604589232,-7.851666865755596,-1.1621976856186802,0.0,29.629443050192094,0.2909991822502991
Meade,1.0,2018.0,-14.43063228684892,-8.234107872755056,-2.0375834586612456,0.3053306359858163,30.965868352840243,0.271085973804613
Pennington,1.0,2018.0,-13.259478734835103,-7.139316471538618,-1.019154208241923,0.8452336289228275,32.54621998083774,0.28820408305818773
Harding,1.0,2018.0,-14.152138247739508,-8.641763951430518,-3.131389655121398,0.7055566508897543,25.295741424913903,0.26997424859640995
Butte,1.0,2018.0,-13.83976839802477,-7.924948850942244,-2.01012930385946,0.35432025045523313,29.19518579103505,0.2778051848174239
Lawrence,1.0,2018.0,-11.568881279743449,-6.310242331166842,-1.0516033825902653,0.834489623146597,38.07800665359621,0.27421088807499794
Custer,1.0,2018.0,-11.202461458408266,-5.596743713803545,0.008974030801189707,1.1159702669270672,28.52438407746852,0.32982107417647927
Fall River,1.0,2018.0,-13.265872937252936,-7.104803458927256,-0.9437339806014952,0.19286835136190889,32.60310700237588,0.2927490248325305
Todd,1.0,2018.0,-11.310441262997797,-5.363296161935831,0.5838489391261253,0.0,30.40419701646556,0.33284041487787214
Bennett,1.0,2018.0,-11.628361461056803,-5.578161197619572,0.4720390658176495,0.0,33.02012517788211,0.3198374028060851
Oglala Lakota,1.0,2018.0,-12.997166718889385,-6.5608598845573916,-0.12455305022522935,0.17053944481357639,33.51418019197891,0.3034340793049811
Jackson,1.0,2018.0,-12.780286755529643,-6.369489248564456,0.04130825840085424,0.05363926875715634,29.821618795083175,0.3188882233481827
Mellette,1.0,2018.0,-11.658117899004587,-5.7926329339088625,0.07285203118686367,0.0,26.7056390485044,0.33630737445806536
Jones,1.0,2018.0,-13.105043249961165,-7.160635548695852,-1.2162278474305497,0.0,26.191028764571474,0.30769486814565455
Lyman,1.0,2018.0,-12.929488011115296,-6.664023068382454,-0.3985581256495305,0.0,21.647777811727728,0.34191598683544866
Buffalo,1.0,2018.0,-14.150002421439224,-7.929631954242076,-1.7092614870449527,0.020576872533949346,20.799493705108567,0.31243185469786766
Tripp,1.0,2018.0,-10.988665061200244,-5.084118826668089,0.820427407864076,0.0,23.242287640267488,0.3694035856382595
Brule,1.0,2018.0,-12.317519571911632,-6.45059080369077,-0.5836620354699326,0.005258784666853903,18.60299883579532,0.3537316467771375
Gregory,1.0,2018.0,-11.529827601561012,-5.286597316824048,0.9566329679128707,0.0045114149189643205,21.784361473572645,0.376211537386958
Charles Mix,1.0,2018.0,-11.595357990483324,-5.375833849494081,0.8436902914951409,0.24761117249234846,17.767245406392718,0.3899480697020815
Douglas,1.0,2018.0,-11.720246843967479,-5.70727325326867,0.3057003374301387,0.17787651503511848,16.85894677332321,0.38072091236268946
Bon Homme,1.0,2018.0,-11.674525014615666,-5.46884449531214,0.7368360239913638,0.36244669225531106,18.73870135559958,0.38301172838396574
Hutchinson,1.0,2018.0,-12.053480253496135,-6.234424930758929,-0.41536960802176154,0.16870992035882584,16.773641928118078,0.3639856363687462
Davison,1.0,2018.0,-12.434924405983361,-6.804033921337217,-1.1731434366910836,0.2743197396391598,14.957148873820373,0.35265480724740406
Hanson,1.0,2018.0,-12.811644857498301,-7.215930164598576,-1.6202154716988546,0.2507292496149518,14.900011493760884,0.3404422443351989
Miner,1.0,2018.0,-12.40376940492805,-7.100216995259227,-1.796664585590441,0.5251309303452444,15.143898103712068,0.34068109723481765
Sanborn,1.0,2018.0,-13.005175639416144,-7.327726455787232,-1.6502772721583556,0.4438817287879765,15.300349173709499,0.3390124913437455
Jerauld,1.0,2018.0,-12.99477734611836,-7.251614421289,-1.50845149645967,0.218605296387846,16.993584419435262,0.3353035989877134
Aurora,1.0,2018.0,-12.427523347072007,-6.712422140060515,-0.9973209330490593,0.12690909371475625,16.61939614284243,0.3508783269265361
Beadle,1.0,2018.0,-13.396391959586191,-7.6476915139384625,-1.8989910682907098,0.4044970890173163,19.350791967985202,0.3184494142494077
Kingsbury,1.0,2018.0,-13.408151935305074,-8.01958315304143,-2.631014370777795,1.585255351730781,18.353258930307238,0.30672421999710875
Brookings,1.0,2018.0,-14.139153156411199,-8.75464944008873,-3.370145723766247,1.8113879199835083,20.793588826703296,0.28096211146015976
Lake,1.0,2018.0,-13.613029106752249,-8.478508478844603,-3.343987850936968,0.733671487242262,17.32396354928699,0.2970549520639222
McCook,1.0,2018.0,-12.937353541550111,-7.5544669799434105,-2.1715804183367156,0.03291773748792057,16.191913165745223,0.32574061860411774
Minnehaha,1.0,2018.0,-13.132473624516988,-7.866695262823062,-2.600916901129144,0.5320350466045776,17.633920050008882,0.3112196753590556
Moody,1.0,2018.0,-13.968041466719272,-8.657663932115733,-3.347286397512227,0.9649602215574676,19.197610664091957,0.2894927417155566
Union,1.0,2018.0,-11.984814421265403,-5.801097547753216,0.38261932575896074,0.3821967038411616,17.14214669404195,0.3809649303212463
Clay,1.0,2018.0,-11.923075784591731,-5.624734791725445,0.6736062011408404,0.13307522916740236,17.801963449803356,0.38546542872915696
Lincoln,1.0,2018.0,-12.849615388243622,-7.022887902245992,-1.1961604162483828,0.6547170931507464,18.220608299729285,0.34093751396391325
Turner,1.0,2018.0,-12.596869495914902,-6.8531417573654165,-1.1094140188159287,0.03731354167614944,18.792077893161263,0.342101821876614
Yankton,1.0,2018.0,-12.084311545737695,-5.9707818392699155,0.14274786719785634,0.01658412983422112,18.299199405846853,0.36985298003874933
Grant,2.0,2018.0,-18.09821412326456,-10.142993775385992,-2.187773427507408,0.03705890127856822,57.476990582952396,0.19589082826005763
Roberts,2.0,2018.0,-18.585585961615045,-10.59725416934078,-2.608922377066447,0.4060555082028491,59.01399823820646,0.18658452646937473
Marshall,2.0,2018.0,-19.673124892914924,-11.719404481076097,-3.7656840692372433,0.7911712791113057,57.80238026668953,0.1741053847375583
Day,2.0,2018.0,-18.749592478316945,-10.563769626022866,-2.3779467737288025,0.35823304575782017,52.11631259543638,0.20605425270009511
Deuel,2.0,2018.0,-17.768469452856056,-9.786048669127975,-1.8036278853999026,0.02719699368104901,51.87194859588445,0.21379121192120415
Codington,2.0,2018.0,-19.315025350679882,-10.697610987592622,-2.0801966245053922,0.2891532959696391,56.598602729812356,0.20110555770498786
Hamlin,2.0,2018.0,-19.465845446233658,-10.68979993610569,-1.9137544259777284,0.20457412123068971,56.02074590375582,0.2060634723910151
Clark,2.0,2018.0,-19.354672113138562,-10.547590863537234,-1.7405096139358784,0.36101307446798675,52.82895852066962,0.2193855016925259
Brown,2.0,2018.0,-19.602758235022787,-11.237268110699596,-2.8717779863762174,0.5035706892852705,55.50231592549502,0.19603157033773466
McPherson,2.0,2018.0,-20.150204313090818,-12.27990070718407,-4.409597101277203,0.7071428789927567,67.53942146440133,0.1419698155457767
Edmunds,2.0,2018.0,-19.616595294432194,-11.149494811258482,-2.6823943280847655,0.12622062468410558,65.28810881478009,0.1712862466263735
Spink,2.0,2018.0,-19.80629654701124,-10.460750509572987,-1.115204472134505,0.06580571167184457,54.59900346556151,0.23040146862994298
Faulk,2.0,2018.0,-19.139287943092917,-10.226857323682099,-1.3144267042712063,0.01425773898978103,62.87487805658264,0.20044734823815655
Hand,2.0,2018.0,-18.62381474492307,-9.465013000288215,-0.30621125565319623,0.05718951055930115,60.756813479138835,0.22509205930872905
Campbell,2.0,2018.0,-20.78465257962751,-12.91102835581517,-5.037404132002806,0.9297604074571288,70.50197248306783,0.11834792699315497
Walworth,2.0,2018.0,-19.316498610890882,-11.515503183913523,-3.7145077569361704,0.4117480456740586,69.80133552616614,0.137068943996176
Potter,2.0,2018.0,-18.60996683288191,-10.292738339672624,-1.9755098464633218,0.011098599387408096,68.15475764253279,0.16392549122861322
Hyde,2.0,2018.0,-18.579203886165917,-9.565361213508387,-0.5515185408508536,0.00956910004097063,62.459457765531035,0.216463903248162
Sully,2.0,2018.0,-18.709682635693227,-10.313368519933219,-1.9170544041731643,0.0,68.58610004995812,0.1595251056750947
Dewey,2.0,2018.0,-20.063244569159465,-12.801064615568801,-5.538884661978135,0.22771549951982123,74.46130096386206,0.08757092551298817
Hughes,2.0,2018.0,-18.60132155581384,-10.070226282902043,-1.5391310099902427,0.0014382504112181124,66.78019217753092,0.18089558801457348
Stanley,2.0,2018.0,-19.13353319552219,-11.953175602597227,-4.772818009672093,0.31005899690420735,73.61544092253953,0.09886011329657622
Corson,2.0,2018.0,-21.504099004253227,-14.18145760578283,-6.858816207312557,1.5105394572248765,75.96880878060188,0.0707527197714037
Perkins,2.0,2018.0,-21.958341445992957,-14.845878471695078,-7.733415497397198,1.8295360910565095,79.30164988643392,0.03511925931040545
Ziebach,2.0,2018.0,-20.728312641412185,-13.558123331451435,-6.387934021490643,1.2543516520851432,75.78893426680602,0.06421775111478258
Haakon,2.0,2018.0,-19.247922378784654,-12.572073702328579,-5.896225025872469,1.2262450055191898,76.27659015407566,0.06751127068592827
Meade,2.0,2018.0,-19.891284718943368,-13.508546084905683,-7.1258074508680735,1.445249617724332,78.39660005784302,0.04679092614343962
Pennington,2.0,2018.0,-18.242993759680882,-12.354993286957335,-6.466992814233896,1.4065036765982608,76.0458552314106,0.06954078652465522
Harding,2.0,2018.0,-20.988431625215245,-14.713924585245925,-8.439417545276678,3.2222486470037954,81.15110763794591,0.02611657623879955
Butte,2.0,2018.0,-19.555635834115684,-13.625477738009987,-7.695319641904384,2.1052842719832463,80.74294276856465,0.033085810447226124
Lawrence,2.0,2018.0,-16.687720903408074,-12.053896326554135,-7.420071749700174,2.3661373687997482,78.42675749486466,0.06094606714512774
Custer,2.0,2018.0,-17.00360870309958,-11.500465671035986,-5.997322638972259,2.344802957910985,71.63079675891882,0.0981800923124792
Fall River,2.0,2018.0,-16.860428552893854,-11.725102747898362,-6.58977694290276,1.0779541197217057,74.38269677694625,0.09103868840153753
Todd,2.0,2018.0,-15.897739493768889,-9.404671679164467,-2.911603864559956,0.017553581741309932,71.50031767591588,0.13052629423770076
Bennett,2.0,2018.0,-16.432431520855843,-10.720458476925675,-5.008485432995479,0.1218566056034834,75.59568000652567,0.08678709970114216
Oglala Lakota,2.0,2018.0,-16.493296876047367,-10.894528776658557,-5.295760677269681,1.341367183709144,74.27440519523573,0.09570249694429055
Jackson,2.0,2018.0,-17.58064126266051,-11.353977288534121,-5.127313314407627,1.097496141011183,74.66322164324976,0.08832001867298869
Mellette,2.0,2018.0,-16.788909549946016,-10.114966119653326,-3.441022689360556,0.1622521260685452,71.96723920056559,0.12328258944060327
Jones,2.0,2018.0,-17.73087865474885,-11.082301583038172,-4.433724511327452,0.3432872804348926,73.36798111755057,0.10549353394344603
Lyman,2.0,2018.0,-17.4655839648071,-9.140355177782935,-0.815126390758576,7.415698897732865E-4,63.42664247026397,0.2038189153519653
Buffalo,2.0,2018.0,-18.69740008230968,-9.803259410347735,-0.9091187383858259,0.0,64.49555239248791,0.20162570637527377
